0,1,2,3,4,5,6,7,8,9
0.9281599404584433,0.0077941281779607486,0.017798608899142962,0.0036418639208145253,0.0008740473409954855,0.0019666065172398335,0.004807260375475161,0.001456745568325807,0.02854786380929705,0.004952934932307743
0.0017979648101798188,0.9534534240810404,0.0007567430498203931,0.0016080789808683327,0.0006621501685928423,0.00047296440613774516,0.0005675572873652942,9.459288122754913e-05,0.0011351145747305884,0.03945140976003603
0.0036943797133110884,0.0009925024328846642,0.9266634365780755,0.01567478760536743,0.013205301252603033,0.014284329257072436,0.01733849746934728,0.0047357422199225925,0.002844179231440762,0.0005668442399749839
0.0016297061423244366,0.0014362969168778077,0.02169425432660301,0.8807638358070453,0.00905886202019548,0.06213076640812321,0.016560854477677845,0.0040793646416714124,0.0019668510911566694,0.0006792081683238267
0.001657993002525678,0.0006481649015968573,0.015721520854198718,0.0122311440582691,0.879489121770079,0.02790492172254695,0.008426664569681682,0.0512989530296492,0.0013218571472872632,0.0012996589441650176
0.0005824790544855957,0.00028593275999569157,0.008369181233146093,0.04169458159246086,0.00921288669727654,0.9286358213871678,0.0038755489564162877,0.006168148657455866,0.00044327607997560393,0.0007321435816191273
0.00017953909128157512,0.0004448458841755543,0.02498662422111414,0.027883840088055452,0.009691724121230713,0.011837422899966534,0.9204217231531501,0.0018691978598601804,0.002148466329336327,0.0005366163518305337
0.001356323577862272,0.00025460009080489226,0.005032799996462144,0.001790489925468127,0.009821716389610036,0.010401085371934318,0.0006014730130052115,0.9686156159257834,0.0010170984066737703,0.0011087973023937885
0.01350061362875246,0.004578776997914843,0.0019081526263286725,0.00160237413204201,0.0006867317708751472,0.0015260706019447714,0.0021364988427226795,0.00022891059029171576,0.9640356804552569,0.009796190353869735
0.0025959502979040015,0.0341371775968246,0.0003462122546176879,0.0006924245092353758,0.0003462122546176879,0.0008655306365442211,0.0005193183819265321,0.0007789775728897986,0.006290122497652754,0.9534280739977865
